# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
180,1,600.002035856247,50364,4792,0,566127,558134
181,1,600.0263831615448,51968,4988,0,570159,561748
182,1,600.1642229557037,49776,4659,0,560964,553418
183,1,600.1395790576935,52105,4993,0,560526,552410
184,1,600.1249451637268,51200,4597,0,556568,548910
185,1,600.013876914978,52114,4498,0,539962,533009
186,1,600.0035569667816,52183,5301,0,540593,532874
187,1,600.1036522388458,51565,5386,0,546341,538159
188,1,600.0199859142303,53385,5907,0,548848,540550
189,1,600.0674312114716,54321,5420,0,538664,530567
190,1,600.1540150642395,52418,4820,0,530015,522699
191,1,600.0977420806885,53563,5395,0,527994,520530
192,1,600.0531339645386,53151,5152,0,507022,499250
193,1,600.1236228942871,53315,5566,0,517025,508893
194,1,600.0171990394592,54465,5238,0,517627,509759
195,1,600.1365258693695,53658,5359,0,508092,500338
196,1,600.1575181484222,52087,5592,0,509523,501434
197,1,600.0799441337585,53944,5693,0,497344,489125
198,1,600.1038398742676,54175,6034,0,493326,484929
199,1,600.2319431304932,53753,5100,0,350907,344510
200,1,600.176659822464,53685,5777,0,270424,263513
