# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
61,1,0.06290221214294434,27346,,1,,
62,1,0.08886384963989258,26448,,1,,
63,1,0.08071303367614746,28042,,1,,
64,1,0.10107707977294922,29654,,1,,
65,1,0.08664608001708984,28049,,1,,
66,1,0.09637093544006348,29841,,1,,
67,1,0.11647200584411621,28324,,1,,
68,1,0.10097885131835938,31753,,1,,
69,1,0.10242295265197754,30619,,1,,
70,1,0.09787988662719727,31757,,1,,
71,1,0.11102890968322754,31486,,1,,
72,1,0.11439299583435059,28862,,1,,
73,1,0.11507797241210938,30567,,1,,
74,1,0.1322770118713379,30516,,1,,
75,1,0.1306931972503662,31201,,1,,
76,1,0.1294710636138916,31390,,1,,
77,1,0.13370800018310547,30006,,1,,
78,1,0.16401267051696777,29993,,1,,
79,1,0.17017602920532227,33032,,1,,
80,1,0.1563410758972168,31950,,1,,
81,1,0.16508007049560547,34537,,1,,
82,1,0.15804696083068848,31732,,1,,
83,1,0.17793631553649902,35365,,1,,
84,1,0.1924581527709961,31738,,1,,
85,1,0.19710016250610352,35117,,1,,
86,1,0.19321680068969727,33881,,1,,
87,1,0.22443008422851562,34288,,1,,
88,1,0.24047017097473145,36277,,1,,
89,1,0.23595213890075684,34700,,1,,
90,1,0.2312929630279541,32093,,1,,
91,1,0.250046968460083,35456,,1,,
92,1,0.24630308151245117,32802,,1,,
93,1,0.25608301162719727,33313,,1,,
94,1,0.2890477180480957,37455,,1,,
95,1,0.26535797119140625,36310,,1,,
96,1,0.28170084953308105,34111,,1,,
97,1,0.2744309902191162,39905,,1,,
98,1,0.2925529479980469,37306,,1,,
99,1,0.31256604194641113,38345,,1,,
100,1,0.30286431312561035,37740,,1,,
101,1,0.29537200927734375,38465,,1,,
102,1,0.3300302028656006,36609,,1,,
103,1,0.3409230709075928,38437,,1,,
104,1,0.39026308059692383,38365,,1,,
105,1,0.3563730716705322,39978,,1,,
106,1,0.386242151260376,40088,,1,,
107,1,0.38713788986206055,37176,,1,,
108,1,0.40766286849975586,40415,,1,,
109,1,0.441241979598999,37585,,1,,
110,1,0.4127848148345947,37577,,1,,
111,1,0.4423189163208008,37285,,1,,
112,1,0.4474809169769287,41584,,1,,
113,1,0.4561290740966797,39405,,1,,
114,1,0.48142099380493164,39802,,1,,
115,1,0.46776604652404785,39312,,1,,
116,1,0.4574930667877197,41467,,1,,
117,1,0.568648099899292,42695,,1,,
118,1,0.5008368492126465,41559,,1,,
119,1,0.5037698745727539,39932,,1,,
120,1,0.5514159202575684,43170,,1,,
121,1,0.5365500450134277,41663,,1,,
122,1,0.551537036895752,43081,,1,,
123,1,0.5476169586181641,41216,,1,,
124,1,0.6412558555603027,42994,,1,,
125,1,0.6707017421722412,41071,,1,,
126,1,0.6444718837738037,40824,,1,,
127,1,0.619879961013794,43918,,1,,
128,1,0.6368041038513184,43070,,1,,
129,1,0.6714911460876465,42446,,1,,
130,1,0.6966209411621094,44221,,1,,
131,1,0.7201478481292725,42848,,1,,
